                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08 on 11 6 2014                              
                                                UCC                                                

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Total(CC4),Average(CC1),Risk,File Name
108,127,105,71,6,Low,test1.cpp
79,107,75,55,19.75,Medium,test2.cpp
3,3,3,1,3,Low,test3.cpp
4,4,4,3,4,Low,test4.cpp
4,5,4,3,4,Low,test5.cpp
3,3,3,2,3,Low,test6.cpp

201,249,194,135,7.73077

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,CC3,CC4,Risk,Function Name,File Name
1,1,1,0,Low,CCodeCounter::CCodeCounter,test1.cpp
1,1,1,0,Low,CCodeCounter::~CCodeCounter,test1.cpp
1,1,1,0,Low,void CCodeCounter::InitializeCounts,test1.cpp
1,1,1,0,Low,void CCodeCounter::InitializeResultsCounts,test1.cpp
2,2,2,1,Low,int CCodeCounter::CountSLOC,test1.cpp
7,9,7,6,Low,bool CCodeCounter::IsSupportedFileExtension,test1.cpp
7,7,7,4,Low,ofstream*CCodeCounter::GetOutputStream,test1.cpp
3,3,3,2,Low,void CCodeCounter::CloseOutputStream,test1.cpp
4,5,4,3,Low,size_t CCodeCounter::FindQuote,test1.cpp
6,8,6,5,Low,int CCodeCounter::ReplaceQuote,test1.cpp
3,3,3,2,Low,int CCodeCounter::CountBlankSLOC,test1.cpp
27,34,24,16,High,int CCodeCounter::CountCommentsSLOC,test1.cpp
11,12,11,8,Medium,int CCodeCounter::FindCommentStart,test1.cpp
4,5,4,3,Low,int CCodeCounter::CountComplexity,test1.cpp
15,18,15,9,Medium,int CCodeCounter::calculate_cyclomatic_complexity,test1.cpp
3,3,3,2,Low,int CCodeCounter::LanguageSpecificProcess,test1.cpp
8,10,8,7,Low,int CCodeCounter::parseFunctionName,test1.cpp
4,4,4,3,Low,void CCodeCounter::printinCSV,test1.cpp
1,1,1,0,Low,CCJavaCsCounter::CCJavaCsCounter,test2.cpp
14,16,14,11,Medium,int CCJavaCsCounter::CountDirectiveSLOC,test2.cpp
4,4,4,3,Low,int CCJavaCsCounter::LanguageSpecificProcess,test2.cpp
60,86,56,41,Very High,void CCJavaCsCounter::LSLOC,test2.cpp
3,3,3,1,Low,int main,test3.cpp
4,4,4,3,Low,int main,test4.cpp
4,5,4,3,Low,int main,test5.cpp
3,3,3,2,Low,int main,test6.cpp

201,Total(CC1)
      7.73,Average(CC1)
